owner_repo,nom,statut,niveau,motif,categorie,importance,licence_connue,url_resolue,section
projectdiscovery/nuclei,Nuclei,SHORTLIST,analyse approfondie,30872 étoiles; dernier commit 2026-08-26; licence MIT,Scanner de vulnérabilités basé sur des modèles,⭐ Haute,oui,oui,(sans section)
rapid7/metasploit-framework,Metasploit Framework,TRIAGE-HAUTE,triage obligatoire,38893 étoiles; dernier commit 2026-08-27; licence BSD-style,Pentesting & Exploit Framework,⭐ Haute,oui,oui,(sans section)
zaproxy/zaproxy,OWASP ZAP,TRIAGE-HAUTE,triage obligatoire,15692 étoiles; dernier commit 2026-08-27; licence Apache-2.0,DAST / Proxy de sécurité web,⭐ Haute,oui,oui,(sans section)
SpecterOps/BloodHound,BloodHound,TRIAGE-MINIMAL,triage minimal,3355 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Active Directory / Attack Path Analysis,🟡 Moyenne,oui,oui,(sans section)
wazuh/wazuh,Wazuh,TRIAGE-HAUTE,triage obligatoire,16696 étoiles; dernier commit 2026-08-24; licence BSD,SIEM / XDR / Host Security,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
velocidex/velociraptor,Velociraptor,SHORTLIST,analyse approfondie,4208 étoiles; dernier commit 2026-08-25; licence inconnue,Endpoint Visibility & DFIR,⭐ Haute,non,oui,🔵 Defensive / Blue Team
zeek/zeek,Zeek,TRIAGE-HAUTE,triage obligatoire,7911 étoiles; dernier commit 2026-08-27; licence BSD,Network Security Monitoring,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
OISF/suricata,Suricata,TRIAGE-HAUTE,triage obligatoire,6573 étoiles; dernier commit 2026-08-26; licence GPL-2.0,IDS / IPS / Network Threat Detection,⭐ Haute,oui,oui,🔵 Defensive / Blue Team
modelcontextprotocol/servers,Model Context Protocol Servers,TRIAGE-HAUTE,triage obligatoire,89909 étoiles; dernier commit 2026-08-18; licence Apache,MCP Registre & Serveurs Officiels,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
punkpeye/awesome-mcp-servers,Awesome MCP Servers,TRIAGE-HAUTE,triage obligatoire,92883 étoiles; dernier commit 2026-08-26; licence MIT,MCP Discovery / Catalog,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
smithery-ai/cli,Smithery CLI,TRIAGE-HAUTE,triage obligatoire,826 étoiles; dernier commit 2026-05-31; licence AGPL-3.0,MCP Gateway / Registry & Package Manager,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
usestrix/strix,Strix,SHORTLIST,analyse approfondie,58766 étoiles; dernier commit 2026-08-26; licence Apache-2.0,AI Pentesting Agent,⭐ Haute,oui,oui,🟢 AI Security Agents
GreyDGL/PentestGPT,PentestGPT,IGNORE,écarté,15105 étoiles; dernier commit 2026-07-14; licence MIT,AI Pentesting Assistant,⭐ Haute,oui,oui,🟢 AI Security Agents
kyuupichan/gpt-pentest,GPT-Pentest,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),AI Security Agent,🟡 Moyenne,non,non,🟢 AI Security Agents
Shuffle/Shuffle,Shuffle,TRIAGE-HAUTE,triage obligatoire,2423 étoiles; dernier commit 2026-05-14; licence AGPL-3.0,Open Source SOAR,⭐ Haute,oui,oui,🟠 Security Orchestration / Automation
n8n-io/n8n,n8n,TRIAGE-HAUTE,triage obligatoire,202606 étoiles; dernier commit 2026-08-27; licence inconnue,Workflow Automation Engine,⭐ Haute,non,oui,🟠 Security Orchestration / Automation
