owner_repo,nom,role,pourquoi,capacites,forme_execution,etoiles,dernier_commit,licence,archive,verdict_phase1,verifiable
projectdiscovery/nuclei,Nuclei,provider,outil qui produit des résultats exploitables,DEPENDENCY_ANALYSIS | WEB_VULN_SCAN,api,30872,2026-08-26,MIT,,INTEGRATE,oui
rapid7/metasploit-framework,Metasploit Framework,provider,outil qui produit des résultats exploitables,EXPLOITATION,api,38893,2026-08-27,BSD-style,,A_NOTER,oui
zaproxy/zaproxy,OWASP ZAP,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,15692,2026-08-27,Apache-2.0,,A_NOTER,oui
SpecterOps/BloodHound,BloodHound,provider,outil qui produit des résultats exploitables,CLOUD_POSTURE,cli,3355,2026-08-27,Apache-2.0,,A_NOTER,oui
wazuh/wazuh,Wazuh,provider,outil qui produit des résultats exploitables,LOG_ANALYSIS,cli,16696,2026-08-24,BSD,,A_NOTER,oui
velocidex/velociraptor,Velociraptor,provider,outil qui produit des résultats exploitables,ENDPOINT_COLLECTION | INCIDENT_RESPONSE,cli,4208,2026-08-25,,,INTEGRATE,oui
zeek/zeek,Zeek,provider,outil qui produit des résultats exploitables,LOG_ANALYSIS,cli,7911,2026-08-27,BSD,,A_NOTER,oui
OISF/suricata,Suricata,doc,"liste, tutoriel ou spécification",,,6573,2026-08-26,GPL-2.0,,A_NOTER,oui
modelcontextprotocol/servers,Model Context Protocol Servers,provider,serveur ou agrégateur MCP,,mcp_server,89909,2026-08-18,Apache,,A_NOTER,oui
punkpeye/awesome-mcp-servers,Awesome MCP Servers,doc,"liste, tutoriel ou spécification",,,92883,2026-08-26,MIT,,A_NOTER,oui
smithery-ai/cli,Smithery CLI,composant,"brique de plateforme (policy, sandbox, gateway, registre)",,,826,2026-05-31,AGPL-3.0,,A_NOTER,oui
usestrix/strix,Strix,concurrent,agent ou plateforme qui fait le même travail que nous,,,58766,2026-08-26,Apache-2.0,,ADAPT (archi),oui
GreyDGL/PentestGPT,PentestGPT,doc,"liste, tutoriel ou spécification",,,15105,2026-07-14,MIT,,IGNORE,oui
