owner_repo,etoiles,capacite_principale,capacites_secondaires,cibles_langages,forme_execution,chevauchement,nouvelles_capacites,lesquelles,interet_fonctionnel,licence,dernier_commit,maturite,source_appreciation
pry0cc/axiom,4415,DEPENDENCY_ANALYSIS,CLOUD_POSTURE | NETWORK_DISCOVERY | WEB_ENDPOINT_DISCOVERY | WEB_VULN_SCAN,,cli,à évaluer,3,NETWORK_DISCOVERY | WEB_ENDPOINT_DISCOVERY | WEB_VULN_SCAN,à évaluer,MIT,2024-09-30,moyenne,non documenté
0xSojalSec/PentestAgent,696,NETWORK_DISCOVERY,WEB_ENDPOINT_DISCOVERY | EXPLOITATION,,mcp_server,à évaluer,3,EXPLOITATION | NETWORK_DISCOVERY | WEB_ENDPOINT_DISCOVERY,à évaluer,MIT,2025-06-05,faible,non documenté
smicallef/spiderfoot,21459,THREAT_INTEL,WEB_ENDPOINT_DISCOVERY,"domaines, IPs, emails",cli,partiel avec theHarvester,2,THREAT_INTEL | WEB_ENDPOINT_DISCOVERY,"OSINT très large, mais lent",MIT,2023-11-05,élevée,connaissance (non vérifié dépôt par dépôt)
laramies/theHarvester,17211,THREAT_INTEL,WEB_ENDPOINT_DISCOVERY,"domaines, emails, sous-domaines",cli,aucun,2,THREAT_INTEL | WEB_ENDPOINT_DISCOVERY,"OSINT passif, simple et utile",,2026-08-27,élevée,connaissance (non vérifié dépôt par dépôt)
wazuh/wazuh,16696,LOG_ANALYSIS,ENDPOINT_COLLECTION,"hôtes, journaux",cli,aucun,2,ENDPOINT_COLLECTION | LOG_ANALYSIS,"plateforme complète, pas un simple scanner",BSD,2026-08-24,élevée,connaissance (non vérifié dépôt par dépôt)
shadow1ng/fscan,14460,NETWORK_DISCOVERY,EXPLOITATION,"hôtes, ports, services Windows",cli,partiel avec nmap,2,EXPLOITATION | NETWORK_DISCOVERY,"orienté Windows/AD, complémentaire de nmap",MIT,2026-08-25,élevée,connaissance (non vérifié dépôt par dépôt)
nmap/nmap,13469,NETWORK_DISCOVERY,WEB_ENDPOINT_DISCOVERY,"hôtes, ports, services",cli,aucun,2,NETWORK_DISCOVERY | WEB_ENDPOINT_DISCOVERY,"découverte réseau, base de tout scan d'infrastructure",,2026-08-27,élevée,connaissance (non vérifié dépôt par dépôt)
SigmaHQ/sigma,10948,DETECTION_RULES,LOG_ANALYSIS,règles de détection,cli,aucun,2,DETECTION_RULES | LOG_ANALYSIS,"règles, pas un scanner : produit des requêtes",,2026-08-18,élevée,connaissance (non vérifié dépôt par dépôt)
mandiant/flare-vm,8968,MALWARE_ANALYSIS,INCIDENT_RESPONSE,,cli,à évaluer,2,INCIDENT_RESPONSE | MALWARE_ANALYSIS,à évaluer,Apache-2.0,2026-06-23,élevée,non documenté
zeek/zeek,7911,LOG_ANALYSIS,NETWORK_DISCOVERY,trafic réseau,cli,aucun,2,LOG_ANALYSIS | NETWORK_DISCOVERY,"analyse de trafic, riche mais lourd",BSD,2026-08-27,élevée,connaissance (non vérifié dépôt par dépôt)
DefectDojo/django-DefectDojo,4910,CODE_STATIC_ANALYSIS,DEPENDENCY_ANALYSIS | WEB_VULN_SCAN | VULN_MANAGEMENT,,cli,à évaluer,2,VULN_MANAGEMENT | WEB_VULN_SCAN,à évaluer,BSD-3-Clause,2026-08-24,moyenne,non documenté
intelowlproject/IntelOwl,4684,THREAT_INTEL,MALWARE_ANALYSIS,"fichiers, domaines, URLs",api,aucun,2,MALWARE_ANALYSIS | THREAT_INTEL,"agrège des analyses, dépend d'API tierces",AGPL-3.0,2026-07-02,moyenne,connaissance (non vérifié dépôt par dépôt)
velocidex/velociraptor,4208,ENDPOINT_COLLECTION,INCIDENT_RESPONSE,"hôtes, agents déployés",cli,aucun,2,ENDPOINT_COLLECTION | INCIDENT_RESPONSE,puissant mais exige des agents déployés,,2026-08-25,moyenne,connaissance (non vérifié dépôt par dépôt)
Neo23x0/Loki,3784,DEPENDENCY_ANALYSIS,THREAT_INTEL | MALWARE_ANALYSIS,,cli,à évaluer,2,MALWARE_ANALYSIS | THREAT_INTEL,à évaluer,GPL-3.0,2026-01-09,moyenne,non documenté
