capacite,deja_couverte,nb_providers,meilleurs_candidats
DEPENDENCY_ANALYSIS,OUI,28,"pry0cc/axiom, DefectDojo/django-DefectDojo, Neo23x0/Loki, f1tz/mcp-for-security-python, aquasecurity/trivy"
CLOUD_POSTURE,OUI,12,"pry0cc/axiom, aquasecurity/trivy, projectdiscovery/nuclei, bridgecrewio/checkov, deepfence/ThreatMapper"
NETWORK_DISCOVERY,NON,10,"pry0cc/axiom, 0xSojalSec/PentestAgent, shadow1ng/fscan, nmap/nmap, zeek/zeek"
SECRET_DETECTION,OUI,10,"deepfence/ThreatMapper, GitHub/github-mcp-server, gitleaks/gitleaks, trufflesecurity/trufflehog, Yelp/detect-secrets"
WEB_ENDPOINT_DISCOVERY,NON,7,"pry0cc/axiom, 0xSojalSec/PentestAgent, smicallef/spiderfoot, laramies/theHarvester, nmap/nmap"
EXPLOITATION,NON,7,"0xSojalSec/PentestAgent, shadow1ng/fscan, neptune1212/MCP_servers_cybersecurity, rapid7/metasploit-framework, deepfence/ThreatMapper"
THREAT_INTEL,NON,6,"smicallef/spiderfoot, laramies/theHarvester, intelowlproject/IntelOwl, Neo23x0/Loki, lanmaster53/recon-ng"
MALWARE_ANALYSIS,NON,5,"mandiant/flare-vm, intelowlproject/IntelOwl, Neo23x0/Loki, rfxn/linux-malware-detect, REMnux/REMnux"
CODE_STATIC_ANALYSIS,OUI,5,"DefectDojo/django-DefectDojo, semgrep/semgrep, PyCQA/bandit, Bearer/bearer, secureCodeBox/secureCodeBox"
WEB_VULN_SCAN,NON,4,"pry0cc/axiom, DefectDojo/django-DefectDojo, projectdiscovery/nuclei, sullo/nikto"
CONTAINER_SCAN,OUI,4,"aquasecurity/trivy, anchore/grype, kubescape/kubescape, deepfence/SecretScanner"
IAC_SCAN,NON,4,"aquasecurity/trivy, bridgecrewio/checkov, aquasecurity/tfsec, Checkmarx/kics"
LOG_ANALYSIS,NON,3,"wazuh/wazuh, SigmaHQ/sigma, zeek/zeek"
ENDPOINT_COLLECTION,NON,3,"wazuh/wazuh, velocidex/velociraptor, samanhappy/mcphub"
DETECTION_RULES,NON,3,"SigmaHQ/sigma, elastic/detection-rules, splunk/security_content"
INCIDENT_RESPONSE,NON,3,"mandiant/flare-vm, velocidex/velociraptor, TheHive-Project/Cortex"
VULN_MANAGEMENT,NON,2,"DefectDojo/django-DefectDojo, DependencyTrack/dependency-track"

